pools: 3589 deals to solve (POOL=40/viewer, 5374 kept total)
[pools] 1530/3589  338s  eta 7.6m  (271.4/min)  
[pools] 1540/3589  340s  eta 7.5m  (271.4/min)  
[pools] 1550/3589  342s  eta 7.5m  (271.7/min)  
[pools] 1560/3589  344s  eta 7.5m  (271.8/min)  
[pools] 1570/3589  347s  eta 7.4m  (271.6/min)  
[pools] 1580/3589  349s  eta 7.4m  (271.7/min)  
[pools] 1590/3589  352s  eta 7.4m  (271.3/min)  
[pools] 1600/3589  354s  eta 7.3m  (271.0/min)  
[pools] 1610/3589  357s  eta 7.3m  (270.7/min)  
[pools] 1620/3589  359s  eta 7.3m  (271.1/min)  
[pools] 1630/3589  361s  eta 7.2m  (271.2/min)  
[pools] 1640/3589  363s  eta 7.2m  (270.8/min)  
[pools] 1650/3589  365s  eta 7.2m  (271.0/min)  
[pools] 1660/3589  368s  eta 7.1m  (270.9/min)  
[pools] 1670/3589  370s  eta 7.1m  (270.9/min)  
[pools] 1680/3589  372s  eta 7.0m  (271.1/min)  
[pools] 1690/3589  374s  eta 7.0m  (271.1/min)  
[pools] 1700/3589  376s  eta 7.0m  (271.0/min)  
[pools] 1710/3589  379s  eta 6.9m  (271.0/min)  
[pools] 1720/3589  381s  eta 6.9m  (271.0/min)  
[pools] 1730/3589  383s  eta 6.9m  (271.0/min)  
[pools] 1740/3589  385s  eta 6.8m  (271.0/min)  
[pools] 1750/3589  387s  eta 6.8m  (271.1/min)  
[pools] 1760/3589  389s  eta 6.7m  (271.3/min)  
[pools] 1770/3589  392s  eta 6.7m  (271.1/min)  
[pools] 1780/3589  394s  eta 6.7m  (271.0/min)  
[pools] 1790/3589  397s  eta 6.6m  (270.8/min)  
[pools] 1800/3589  399s  eta 6.6m  (271.0/min)  
[pools] 1810/3589  401s  eta 6.6m  (271.0/min)  
[pools] 1820/3589  403s  eta 6.5m  (271.1/min)  
[pools] 1830/3589  405s  eta 6.5m  (271.2/min)  
[pools] 1840/3589  407s  eta 6.5m  (271.0/min)  
[pools] 1850/3589  410s  eta 6.4m  (271.0/min)  
[pools] 1860/3589  412s  eta 6.4m  (270.8/min)  
[pools] 1870/3589  414s  eta 6.3m  (270.8/min)  
[pools] 1880/3589  417s  eta 6.3m  (270.8/min)  
[pools] 1890/3589  418s  eta 6.3m  (271.1/min)  
[pools] 1900/3589  421s  eta 6.2m  (270.8/min)  
[pools] 1910/3589  423s  eta 6.2m  (270.8/min)  
[pools] 1920/3589  425s  eta 6.2m  (271.1/min)  
[pools] 1930/3589  427s  eta 6.1m  (271.1/min)  
[pools] 1940/3589  429s  eta 6.1m  (271.5/min)  
[pools] 1950/3589  431s  eta 6.0m  (271.3/min)  
[pools] 1960/3589  434s  eta 6.0m  (271.3/min)  
[pools] 1970/3589  436s  eta 6.0m  (271.3/min)  
[pools] 1980/3589  438s  eta 5.9m  (271.5/min)  
[pools] 1990/3589  440s  eta 5.9m  (271.2/min)  
[pools] 2000/3589  442s  eta 5.9m  (271.5/min)  
[pools] 2010/3589  445s  eta 5.8m  (271.0/min)  
[pools] 2020/3589  447s  eta 5.8m  (271.2/min)  
[pools] 2030/3589  449s  eta 5.7m  (271.2/min)  
[pools] 2040/3589  451s  eta 5.7m  (271.3/min)  
[pools] 2050/3589  453s  eta 5.7m  (271.3/min)  
[pools] 2060/3589  455s  eta 5.6m  (271.6/min)  
[pools] 2070/3589  458s  eta 5.6m  (271.4/min)  
[pools] 2080/3589  460s  eta 5.6m  (271.3/min)  
[pools] 2090/3589  463s  eta 5.5m  (271.0/min)  
[pools] 2100/3589  465s  eta 5.5m  (270.9/min)  
[pools] 2110/3589  467s  eta 5.5m  (270.9/min)  
[pools] 2120/3589  470s  eta 5.4m  (270.9/min)  
[pools] 2130/3589  472s  eta 5.4m  (270.9/min)  
[pools] 2140/3589  474s  eta 5.3m  (271.0/min)  
[pools] 2150/3589  476s  eta 5.3m  (270.8/min)  
[pools] 2160/3589  479s  eta 5.3m  (270.7/min)  
[pools] 2170/3589  481s  eta 5.2m  (270.9/min)  
[pools] 2180/3589  483s  eta 5.2m  (270.9/min)  
[pools] 2190/3589  485s  eta 5.2m  (270.8/min)  
[pools] 2200/3589  488s  eta 5.1m  (270.8/min)  
[pools] 2210/3589  490s  eta 5.1m  (270.8/min)  
[pools] 2220/3589  492s  eta 5.1m  (270.9/min)  
[pools] 2230/3589  494s  eta 5.0m  (270.8/min)  
[pools] 2240/3589  496s  eta 5.0m  (270.9/min)  
[pools] 2250/3589  498s  eta 4.9m  (271.1/min)  
[pools] 2260/3589  500s  eta 4.9m  (271.0/min)  
[pools] 2270/3589  502s  eta 4.9m  (271.1/min)  
[pools] 2280/3589  504s  eta 4.8m  (271.3/min)  
[pools] 2290/3589  507s  eta 4.8m  (271.2/min)  
[pools] 2300/3589  509s  eta 4.8m  (271.4/min)  
[pools] 2310/3589  511s  eta 4.7m  (271.5/min)  
[pools] 2320/3589  513s  eta 4.7m  (271.6/min)  
[pools] 2330/3589  515s  eta 4.6m  (271.7/min)  
[pools] 2340/3589  517s  eta 4.6m  (271.5/min)  
[pools] 2350/3589  520s  eta 4.6m  (271.4/min)  
[pools] 2360/3589  523s  eta 4.5m  (270.8/min)  
[pools] 2370/3589  525s  eta 4.5m  (270.9/min)  
[pools] 2380/3589  527s  eta 4.5m  (270.9/min)  
[pools] 2390/3589  529s  eta 4.4m  (270.9/min)  
[pools] 2400/3589  532s  eta 4.4m  (270.9/min)  
[pools] 2410/3589  534s  eta 4.4m  (270.6/min)  
[pools] 2420/3589  536s  eta 4.3m  (270.8/min)  
[pools] 2430/3589  538s  eta 4.3m  (271.0/min)  
[pools] 2440/3589  540s  eta 4.2m  (270.9/min)  
[pools] 2450/3589  542s  eta 4.2m  (271.0/min)  
[pools] 2460/3589  544s  eta 4.2m  (271.2/min)  
[pools] 2470/3589  547s  eta 4.1m  (271.2/min)  
[pools] 2480/3589  549s  eta 4.1m  (271.2/min)  
[pools] 2490/3589  550s  eta 4.0m  (271.4/min)  
[pools] 2500/3589  553s  eta 4.0m  (271.3/min)  
[pools] 2510/3589  555s  eta 4.0m  (271.4/min)  
[pools] 2520/3589  557s  eta 3.9m  (271.5/min)  
[pools] 2530/3589  559s  eta 3.9m  (271.3/min)  
[pools] 2540/3589  562s  eta 3.9m  (271.4/min)  
[pools] 2550/3589  564s  eta 3.8m  (271.4/min)  
[pools] 2560/3589  566s  eta 3.8m  (271.4/min)  
[pools] 2570/3589  568s  eta 3.8m  (271.7/min)  
[pools] 2580/3589  570s  eta 3.7m  (271.5/min)  
[pools] 2590/3589  572s  eta 3.7m  (271.8/min)  
[pools] 2600/3589  575s  eta 3.6m  (271.5/min)  
[pools] 2610/3589  577s  eta 3.6m  (271.6/min)  
[pools] 2620/3589  579s  eta 3.6m  (271.4/min)  
[pools] 2630/3589  581s  eta 3.5m  (271.7/min)  
[pools] 2640/3589  583s  eta 3.5m  (271.5/min)  
[pools] 2650/3589  585s  eta 3.5m  (271.6/min)  
[pools] 2660/3589  588s  eta 3.4m  (271.6/min)  
[pools] 2670/3589  589s  eta 3.4m  (271.8/min)  
[pools] 2680/3589  592s  eta 3.3m  (271.6/min)  
[pools] 2690/3589  594s  eta 3.3m  (271.7/min)  
[pools] 2700/3589  596s  eta 3.3m  (271.8/min)  
[pools] 2710/3589  598s  eta 3.2m  (272.0/min)  
[pools] 2720/3589  600s  eta 3.2m  (271.9/min)  
